Order ID,Order Date,Product Category,Product Name,Region,Sales,Profit,Quantity,Customer Segment
CA-2025-100695,2024-01-13,Technology,HP EliteBook Laptop,West,5090.55,1083.22,6,Home Office
CA-2025-100165,2024-01-13,Office Supplies,Multi-color Sticky Notes (5-pack),South,24.34,5.49,3,Corporate
CA-2024-101124,2024-01-13,Office Supplies,Premium Printer Paper (Ream),North,16.26,2.26,1,Home Office
CA-2024-100425,2024-01-13,Technology,Dell XPS 13 Laptop,South,4261.51,958.57,4,Home Office
CA-2024-100637,2024-01-14,Technology,Anker USB-C Hub,West,288.88,76.37,7,Corporate
CA-2024-100561,2024-01-14,Technology,Dell XPS 13 Laptop,East,950.15,223.39,1,Corporate
CA-2025-100989,2024-01-14,Technology,Dell XPS 13 Laptop,East,7329.82,1779.29,7,Corporate
CA-2024-100140,2024-01-15,Furniture,Standing Desk,East,2781.6,54.0,7,Home Office
CA-2025-100112,2024-01-17,Technology,Netgear Wireless Router,South,657.96,123.17,5,Consumer
CA-2025-100296,2024-01-17,Technology,Logitech MX Master 3 Mouse,North,192.01,70.31,2,Consumer
CA-2025-100820,2024-01-17,Office Supplies,Premium Printer Paper (Ream),North,58.49,9.1,4,Consumer
CA-2024-101107,2024-01-18,Technology,Netgear Wireless Router,South,871.52,195.29,7,Home Office
CA-2025-100458,2024-01-19,Office Supplies,Gel Pens (12-pack),East,51.93,14.85,5,Corporate
CA-2025-100753,2024-01-19,Office Supplies,Heavy Duty 3-Ring Binder,West,52.17,10.59,4,Corporate
CA-2025-100619,2024-01-20,Technology,HP EliteBook Laptop,South,5166.38,1188.98,6,Corporate
CA-2024-100387,2024-01-21,Furniture,Adjustable Side Table,West,423.14,-7.75,5,Home Office
CA-2025-100751,2024-01-22,Technology,HP EliteBook Laptop,West,4228.72,1043.62,5,Corporate
CA-2025-100102,2024-01-23,Furniture,5-Shelf Bookshelf,West,1033.07,-44.89,7,Consumer
CA-2025-100699,2024-01-25,Office Supplies,Premium Printer Paper (Ream),West,16.04,2.65,1,Corporate
CA-2024-100470,2024-01-25,Technology,Apple iPad Air,West,2587.15,764.48,4,Home Office
CA-2024-100000,2024-01-26,Office Supplies,Premium Printer Paper (Ream),West,30.73,3.96,2,Home Office
CA-2024-100620,2024-01-27,Office Supplies,Multi-color Sticky Notes (5-pack),West,51.32,12.74,6,Corporate
CA-2024-100815,2024-01-27,Office Supplies,Desktop Stapler,South,153.42,30.98,8,Home Office
CA-2024-100153,2024-01-27,Furniture,Solid Wood Coffee Table,East,1264.54,116.33,6,Consumer
CA-2024-100430,2024-01-27,Office Supplies,Heavy Duty 3-Ring Binder,North,107.02,20.18,8,Consumer
CA-2025-101146,2024-01-29,Furniture,Ergonomic Office Chair,North,246.19,11.62,1,Consumer
CA-2025-100625,2024-01-30,Technology,Logitech MX Master 3 Mouse,South,656.88,221.43,7,Home Office
CA-2024-100085,2024-01-30,Technology,Dell XPS 13 Laptop,North,7217.21,1550.05,7,Consumer
CA-2024-100274,2024-01-30,Furniture,Adjustable Side Table,East,556.8,-11.82,7,Consumer
CA-2025-100276,2024-01-31,Technology,Apple iPad Air,North,3167.13,914.58,5,Corporate
CA-2024-100256,2024-01-31,Furniture,Leather Executive Sofa,North,4301.75,389.9,5,Home Office
CA-2025-101022,2024-01-31,Technology,Dell XPS 13 Laptop,West,935.54,231.18,1,Corporate
CA-2025-100849,2024-01-31,Technology,Dell XPS 13 Laptop,East,4118.57,923.56,4,Consumer
CA-2025-101163,2024-02-01,Office Supplies,Stainless Steel Scissors,South,18.08,11.495000000000001,3,Home Office
CA-2024-101117,2024-02-01,Office Supplies,Desktop Stapler,South,97.06,20.11,5,Consumer
CA-2024-100696,2024-02-01,Office Supplies,Heavy Duty 3-Ring Binder,North,95.46,19.56,7,Corporate
CA-2024-101158,2024-02-01,Office Supplies,Premium Printer Paper (Ream),West,15.38,2.26,1,Home Office
CA-2024-100332,2024-02-03,Technology,Netgear Wireless Router,West,681.5,135.79,5,Corporate
CA-2025-100283,2024-02-04,Technology,Netgear Wireless Router,North,248.52,53.15,2,Home Office
CA-2025-101016,2024-02-05,Technology,Logitech MX Master 3 Mouse,East,804.05,302.31,8,Corporate
CA-2025-100173,2024-02-06,Office Supplies,Stainless Steel Scissors,West,25.04,6.26,4,Home Office
CA-2024-100878,2024-02-06,Office Supplies,Stainless Steel Scissors,East,48.67,11.73,8,Corporate
CA-2024-100489,2024-02-07,Technology,Anker USB-C Hub,South,271.28,74.3,7,Home Office
CA-2025-100264,2024-02-07,Technology,Dell XPS 13 Laptop,North,2003.41,452.51,2,Consumer
CA-2024-100840,2024-02-07,Furniture,Solid Wood Coffee Table,South,208.24,16.44,1,Corporate
CA-2024-100528,2024-02-08,Office Supplies,Heavy Duty 3-Ring Binder,North,38.45,7.33,3,Home Office
CA-2024-100293,2024-02-08,Office Supplies,Desktop Stapler,West,19.33,4.38,4,Corporate
CA-2024-100575,2024-02-09,Furniture,Ergonomic Office Chair,West,711.13,39.12,3,Home Office
CA-2025-100555,2024-02-09,Furniture,Ergonomic Office Chair,North,272.25,14.13,1,Home Office
CA-2024-101033,2024-02-11,Technology,Dell XPS 13 Laptop,North,6683.67,1468.79,7,Consumer
CA-2025-100195,2024-02-11,Furniture,5-Shelf Bookshelf,North,702.27,-34.76,5,Consumer
CA-2025-101081,2024-02-12,Furniture,Leather Executive Sofa,West,6259.26,599.26,7,Consumer
CA-2025-100543,2024-02-12,Office Supplies,Stainless Steel Scissors,East,6.27,1.67,1,Corporate
CA-2025-101157,2024-02-12,Office Supplies,Heavy Duty 3-Ring Binder,East,14.02,2.37,1,Corporate
CA-2024-100954,2024-02-13,Furniture,5-Shelf Bookshelf,South,474.3,-21.75,3,Corporate
CA-2024-100972,2024-02-13,Furniture,Leather Executive Sofa,North,937.33,95.17,1,Corporate
CA-2025-101127,2024-02-13,Office Supplies,Gel Pens (12-pack),East,20.47,5.46,2,Home Office
CA-2025-100302,2024-02-14,Technology,Anker USB-C Hub,West,75.84,20.95,2,Consumer
CA-2025-100748,2024-02-15,Furniture,5-Shelf Bookshelf,South,1286.55,-62.73,8,Home Office
CA-2025-100015,2024-02-15,Technology,Logitech MX Master 3 Mouse,North,719.82,222.6,7,Home Office
CA-2024-100513,2024-02-16,Technology,Netgear Wireless Router,West,414.84,73.01,3,Home Office
CA-2025-101049,2024-02-16,Office Supplies,Heavy Duty 3-Ring Binder,West,13.71,2.29,1,Home Office
CA-2025-100795,2024-02-17,Technology,HP EliteBook Laptop,East,5158.13,1200.82,6,Consumer
CA-2024-100991,2024-02-18,Technology,Logitech MX Master 3 Mouse,North,100.22,32.7,1,Consumer
CA-2025-100931,2024-02-19,Technology,Apple iPad Air,West,4487.85,1398.08,7,Home Office
CA-2024-100893,2024-02-20,Technology,Anker USB-C Hub,West,218.77,64.83,5,Corporate
CA-2024-101134,2024-02-20,Office Supplies,Stainless Steel Scissors,South,39.13,10.65,6,Consumer
CA-2024-100088,2024-02-21,Furniture,Leather Executive Sofa,South,1817.4,202.59,2,Home Office
CA-2024-100034,2024-02-22,Furniture,Leather Executive Sofa,East,868.0,94.9,1,Corporate
CA-2024-101187,2024-02-23,Office Supplies,Multi-color Sticky Notes (5-pack),East,70.17,13.52,8,Consumer
CA-2025-100116,2024-02-24,Technology,Apple iPad Air,East,4615.24,1224.96,7,Home Office
CA-2025-101087,2024-02-26,Furniture,Leather Executive Sofa,South,5091.4,520.21,6,Consumer
CA-2025-101166,2024-02-26,Office Supplies,Multi-color Sticky Notes (5-pack),South,38.06,9.1,5,Home Office
CA-2024-100838,2024-02-28,Office Supplies,Gel Pens (12-pack),South,76.5,21.81,8,Consumer
CA-2025-101152,2024-02-29,Furniture,Adjustable Side Table,North,80.41,-1.4,1,Corporate
CA-2025-100963,2024-02-29,Furniture,Adjustable Side Table,North,172.56,-3.43,2,Home Office
CA-2025-100132,2024-03-01,Furniture,Adjustable Side Table,West,517.62,-11.16,6,Consumer
CA-2024-100381,2024-03-01,Office Supplies,Premium Printer Paper (Ream),East,100.61,13.47,7,Consumer
CA-2024-100565,2024-03-01,Furniture,5-Shelf Bookshelf,North,149.3,-7.61,1,Corporate
CA-2025-100872,2024-03-02,Technology,Netgear Wireless Router,East,929.93,185.68,7,Home Office
CA-2025-100285,2024-03-03,Office Supplies,Desktop Stapler,West,102.18,21.2,5,Consumer
CA-2025-100152,2024-03-03,Technology,Logitech MX Master 3 Mouse,West,418.73,159.84,4,Consumer
CA-2025-100608,2024-03-03,Technology,HP EliteBook Laptop,South,846.38,193.68,1,Consumer
CA-2024-100101,2024-03-04,Office Supplies,Multi-color Sticky Notes (5-pack),West,61.55,12.34,8,Corporate
CA-2024-100150,2024-03-04,Technology,HP EliteBook Laptop,South,1766.96,360.61,2,Home Office
CA-2025-101120,2024-03-04,Technology,Apple iPad Air,West,3890.11,1169.03,6,Consumer
CA-2025-100985,2024-03-05,Furniture,Solid Wood Coffee Table,South,207.0,17.03,1,Consumer
CA-2025-101092,2024-03-05,Office Supplies,Heavy Duty 3-Ring Binder,North,79.76,16.27,6,Home Office
CA-2025-100906,2024-03-06,Technology,Netgear Wireless Router,East,429.85,82.34,3,Home Office
CA-2024-100973,2024-03-06,Office Supplies,Heavy Duty 3-Ring Binder,West,83.21,15.03,6,Consumer
CA-2025-101173,2024-03-06,Furniture,Leather Executive Sofa,East,5855.4,532.57,6,Consumer
CA-2024-100420,2024-03-07,Furniture,Ergonomic Office Chair,East,720.0,37.0,3,Consumer
CA-2024-101046,2024-03-07,Office Supplies,Multi-color Sticky Notes (5-pack),South,55.24,13.15,7,Consumer
CA-2024-100258,2024-03-08,Technology,Apple iPad Air,South,2437.46,739.04,4,Corporate
CA-2024-100168,2024-03-08,Furniture,Adjustable Side Table,South,77.9,-1.73,1,Home Office
CA-2025-100736,2024-03-08,Technology,Apple iPad Air,South,5178.05,1381.45,8,Consumer
CA-2025-101162,2024-03-09,Office Supplies,Desktop Stapler,West,61.74,11.68,3,Consumer
CA-2025-101062,2024-03-10,Office Supplies,Gel Pens (12-pack),West,81.1,18.08,8,Home Office
CA-2025-100462,2024-03-10,Furniture,Leather Executive Sofa,East,2683.09,305.0,3,Home Office
CA-2024-100137,2024-03-11,Office Supplies,Multi-color Sticky Notes (5-pack),West,33.55,6.61,4,Corporate
CA-2025-101177,2024-03-11,Office Supplies,Premium Printer Paper (Ream),West,16.52,2.78,1,Corporate
CA-2025-100651,2024-03-12,Technology,HP EliteBook Laptop,South,4910.28,1139.63,6,Home Office
CA-2024-100720,2024-03-12,Furniture,Ergonomic Office Chair,North,1715.95,95.87,7,Consumer
CA-2025-100662,2024-03-12,Technology,Netgear Wireless Router,North,745.77,157.42,6,Consumer
CA-2024-100445,2024-03-13,Office Supplies,Stainless Steel Scissors,West,18.26,3.93,3,Corporate
CA-2025-100235,2024-03-14,Office Supplies,Desktop Stapler,West,42.09,8.96,2,Corporate
CA-2024-100971,2024-03-14,Furniture,Leather Executive Sofa,East,5791.05,614.05,6,Home Office
CA-2024-100249,2024-03-14,Furniture,Leather Executive Sofa,East,6349.04,575.95,7,Home Office
CA-2024-100108,2024-03-15,Technology,Netgear Wireless Router,West,718.69,122.84,5,Consumer
CA-2025-100156,2024-03-15,Furniture,Adjustable Side Table,East,266.09,-5.69,3,Corporate
CA-2025-100196,2024-03-15,Office Supplies,Premium Printer Paper (Ream),West,45.71,6.93,3,Home Office
CA-2024-100550,2024-03-16,Office Supplies,Premium Printer Paper (Ream),South,104.52,15.57,7,Corporate
CA-2024-100461,2024-03-17,Office Supplies,Multi-color Sticky Notes (5-pack),North,22.91,4.57,3,Corporate
CA-2024-100536,2024-03-19,Furniture,Solid Wood Coffee Table,South,818.14,61.58,4,Home Office
CA-2025-100584,2024-03-23,Technology,HP EliteBook Laptop,South,2713.8,658.95,3,Home Office
CA-2025-100078,2024-03-25,Office Supplies,Desktop Stapler,South,95.42,16.68,5,Consumer
CA-2024-100129,2024-03-25,Office Supplies,Heavy Duty 3-Ring Binder,North,63.63,11.31,5,Corporate
CA-2025-100072,2024-03-26,Technology,Logitech MX Master 3 Mouse,West,878.81,347.31,8,Consumer
CA-2024-100026,2024-03-26,Office Supplies,Desktop Stapler,South,133.77,26.39,7,Consumer
CA-2024-100282,2024-03-27,Technology,Anker USB-C Hub,South,1147.6,36.15,3,Home Office
CA-2025-100562,2024-03-27,Technology,Dell XPS 13 Laptop,South,2905.0,745.47,3,Consumer
CA-2025-100428,2024-03-28,Furniture,Unknown Product,East,1032.05,54.28,4,Consumer
CA-2025-100211,2024-03-28,Technology,Apple iPad Air,South,4420.28,1347.07,7,Consumer
CA-2024-100529,2024-03-29,Office Supplies,Heavy Duty 3-Ring Binder,West,84.3,15.48,6,Consumer
CA-2024-100491,2024-03-30,Technology,Dell XPS 13 Laptop,South,2117.42,529.89,2,Corporate
CA-2024-100636,2024-03-31,Office Supplies,Multi-color Sticky Notes (5-pack),North,57.27,13.12,7,Home Office
CA-2025-100378,2024-04-01,Office Supplies,Stainless Steel Scissors,South,37.53,10.25,6,Consumer
CA-2025-100356,2024-04-01,Technology,HP EliteBook Laptop,South,2484.75,545.14,3,Corporate
CA-2025-101010,2024-04-02,Furniture,Adjustable Side Table,South,526.84,-11.55,6,Consumer
CA-2025-100050,2024-04-02,Furniture,Ergonomic Office Chair,East,1314.76,72.1,5,Corporate
CA-2025-100053,2024-04-03,Office Supplies,Gel Pens (12-pack),East,32.54,7.42,3,Corporate
CA-2024-100895,2024-04-03,Technology,Netgear Wireless Router,East,290.69,60.88,2,Consumer
CA-2025-100716,2024-04-03,Office Supplies,Desktop Stapler,East,104.49,21.49,5,Home Office
CA-2024-100690,2024-04-04,Furniture,5-Shelf Bookshelf,East,1226.44,-53.27,8,Corporate
CA-2024-100487,2024-04-04,Furniture,5-Shelf Bookshelf,West,1241.39,36.59,8,Corporate
CA-2024-100808,2024-04-06,Furniture,5-Shelf Bookshelf,East,820.95,-39.8,5,Corporate
CA-2025-100902,2024-04-07,Office Supplies,Stainless Steel Scissors,West,51.28,10.66,8,Corporate
CA-2024-100585,2024-04-08,Furniture,Standing Desk,West,2957.87,59.76,7,Corporate
CA-2024-100087,2024-04-09,Technology,Logitech MX Master 3 Mouse,South,593.36,186.45,6,Consumer
CA-2025-101058,2024-04-10,Technology,HP EliteBook Laptop,North,1724.92,352.11,2,Corporate
CA-2024-100913,2024-04-11,Office Supplies,Multi-color Sticky Notes (5-pack),East,68.95,16.02,8,Home Office
CA-2025-101179,2024-04-11,Technology,Logitech MX Master 3 Mouse,South,547.14,174.46,5,Home Office
CA-2025-100033,2024-04-12,Technology,Logitech MX Master 3 Mouse,North,301.26,120.44,3,Corporate
CA-2024-101056,2024-04-13,Furniture,Ergonomic Office Chair,South,1881.87,91.39,7,Home Office
CA-2025-100641,2024-04-13,Office Supplies,Heavy Duty 3-Ring Binder,North,42.29,6.93,3,Corporate
CA-2024-100994,2024-04-14,Technology,Anker USB-C Hub,East,274.51,74.57,7,Home Office
CA-2024-101104,2024-04-15,Furniture,Adjustable Side Table,West,460.72,-10.43,6,Home Office
CA-2025-100118,2024-04-15,Technology,Dell XPS 13 Laptop,East,6732.24,1639.54,7,Home Office
CA-2024-100570,2024-04-15,Office Supplies,Gel Pens (12-pack),West,32.75,8.4,3,Home Office
CA-2025-100643,2024-04-16,Office Supplies,Premium Printer Paper (Ream),East,15.01,2.02,1,Consumer
CA-2024-100190,2024-04-16,Furniture,Adjustable Side Table,North,321.8,-7.33,4,Corporate
CA-2025-100812,2024-04-17,Office Supplies,Premium Printer Paper (Ream),West,43.74,6.7,3,Consumer
CA-2025-101051,2024-04-18,Furniture,Ergonomic Office Chair,East,832.6,43.84,3,Corporate
CA-2025-100189,2024-04-20,Furniture,Ergonomic Office Chair,East,842.05,35.84,3,Corporate
CA-2024-100426,2024-04-21,Office Supplies,Multi-color Sticky Notes (5-pack),West,60.34,11.31,7,Home Office
CA-2025-100407,2024-04-21,Furniture,Solid Wood Coffee Table,North,580.37,49.06,3,Consumer
CA-2025-100376,2024-04-22,Technology,Logitech MX Master 3 Mouse,North,204.88,82.27,2,Home Office
CA-2025-100837,2024-04-22,Furniture,Ergonomic Office Chair,West,483.06,21.61,2,Home Office
CA-2024-100496,2024-04-23,Furniture,Solid Wood Coffee Table,East,586.92,46.87,3,Corporate
CA-2025-100610,2024-04-24,Technology,Apple iPad Air,North,1787.46,539.59,3,Corporate
CA-2025-100986,2024-04-25,Furniture,Leather Executive Sofa,North,5389.36,576.62,6,Home Office
CA-2025-100353,2024-04-25,Office Supplies,Gel Pens (12-pack),North,33.07,11.495000000000001,3,Consumer
CA-2025-100121,2024-04-26,Office Supplies,Gel Pens (12-pack),West,89.66,20.46,8,Home Office
CA-2024-100268,2024-04-26,Office Supplies,Premium Printer Paper (Ream),South,16.54,2.25,1,Home Office
CA-2025-100278,2024-04-27,Office Supplies,Multi-color Sticky Notes (5-pack),North,24.35,5.21,3,Consumer
CA-2025-100457,2024-04-27,Furniture,Adjustable Side Table,South,173.07,-3.46,2,Corporate
CA-2024-100197,2024-04-27,Office Supplies,Premium Printer Paper (Ream),West,67.46,10.67,4,Home Office
CA-2024-100522,2024-04-27,Technology,Dell XPS 13 Laptop,East,3926.4,841.62,4,Consumer
CA-2025-100382,2024-04-27,Furniture,Ergonomic Office Chair,South,1938.09,100.79,8,Corporate
CA-2024-100992,2024-04-29,Furniture,5-Shelf Bookshelf,South,1148.52,-51.99,7,Consumer
CA-2024-100313,2024-04-29,Technology,Logitech MX Master 3 Mouse,West,299.8,111.45,3,Corporate
CA-2024-100475,2024-04-30,Office Supplies,Stainless Steel Scissors,South,43.09,10.97,7,Consumer
CA-2025-100471,2024-05-01,Furniture,Ergonomic Office Chair,West,1599.62,84.29,6,Corporate
CA-2025-100348,2024-05-01,Technology,Anker USB-C Hub,West,329.49,96.81,8,Corporate
CA-2024-100697,2024-05-02,Furniture,Standing Desk,South,445.6,10.07,1,Consumer
CA-2024-100920,2024-05-02,Technology,Logitech MX Master 3 Mouse,North,695.3,248.28,7,Home Office
CA-2025-100294,2024-05-04,Office Supplies,Multi-color Sticky Notes (5-pack),North,8.57,2.14,1,Corporate
CA-2024-100883,2024-05-04,Technology,Dell XPS 13 Laptop,West,977.47,245.98,1,Consumer
CA-2025-100884,2024-05-04,Technology,Netgear Wireless Router,North,263.99,59.41,2,Corporate
CA-2025-100621,2024-05-06,Furniture,Ergonomic Office Chair,West,2069.55,94.34,8,Consumer
CA-2025-100319,2024-05-07,Office Supplies,Stainless Steel Scissors,South,23.31,6.04,4,Corporate
CA-2024-100238,2024-05-08,Furniture,Standing Desk,North,433.78,8.31,1,Home Office
CA-2025-100665,2024-05-08,Office Supplies,Premium Printer Paper (Ream),South,125.09,18.14,8,Corporate
CA-2025-100400,2024-05-09,Office Supplies,Multi-color Sticky Notes (5-pack),West,15.93,3.39,2,Consumer
CA-2024-100056,2024-05-09,Furniture,Solid Wood Coffee Table,North,1045.16,86.26,5,Home Office
CA-2024-100432,2024-05-10,Furniture,Ergonomic Office Chair,South,2161.59,99.68,8,Corporate
CA-2024-100714,2024-05-10,Furniture,Solid Wood Coffee Table,South,856.04,64.12,4,Home Office
CA-2024-101039,2024-05-10,Office Supplies,Stainless Steel Scissors,East,6.47,1.44,1,Consumer
CA-2024-101191,2024-05-11,Technology,HP EliteBook Laptop,East,2551.46,506.78,3,Corporate
CA-2025-100953,2024-05-12,Technology,Anker USB-C Hub,East,244.92,81.23,6,Consumer
CA-2024-100508,2024-05-13,Technology,Logitech MX Master 3 Mouse,South,701.33,229.11,7,Home Office
CA-2025-100870,2024-05-13,Office Supplies,Gel Pens (12-pack),North,20.72,4.92,2,Corporate
CA-2024-100054,2024-05-13,Office Supplies,Premium Printer Paper (Ream),East,15.45,2.52,1,Consumer
CA-2024-100230,2024-05-14,Office Supplies,Gel Pens (12-pack),East,83.88,23.3,8,Corporate
CA-2024-100826,2024-05-14,Office Supplies,Heavy Duty 3-Ring Binder,North,80.13,12.41,6,Consumer
CA-2024-100323,2024-05-14,Technology,Apple iPad Air,North,5380.03,1550.54,8,Corporate
CA-2025-100807,2024-05-15,Furniture,Leather Executive Sofa,North,3767.76,421.02,4,Consumer
CA-2025-100212,2024-05-15,Technology,Dell XPS 13 Laptop,South,3154.18,815.69,3,Home Office
CA-2025-101116,2024-05-15,Technology,Netgear Wireless Router,South,929.24,199.36,7,Corporate
CA-2024-100248,2024-05-15,Furniture,Ergonomic Office Chair,East,519.15,25.45,2,Corporate
CA-2025-100206,2024-05-17,Furniture,Solid Wood Coffee Table,East,216.75,19.15,1,Corporate
CA-2024-101086,2024-05-17,Technology,Logitech MX Master 3 Mouse,East,781.0,289.33,7,Home Office
CA-2024-101112,2024-05-18,Office Supplies,Heavy Duty 3-Ring Binder,West,38.98,6.83,3,Home Office
CA-2025-100868,2024-05-19,Furniture,Solid Wood Coffee Table,North,1597.97,134.83,7,Consumer
CA-2024-100960,2024-05-19,Technology,HP EliteBook Laptop,South,3811.45,770.53,4,Consumer
CA-2024-100148,2024-05-19,Office Supplies,Heavy Duty 3-Ring Binder,East,81.16,14.77,6,Corporate
CA-2024-100201,2024-05-19,Office Supplies,Desktop Stapler,North,129.26,22.06,6,Consumer
CA-2024-101151,2024-05-20,Technology,Netgear Wireless Router,North,401.92,85.57,3,Corporate
CA-2025-100949,2024-05-20,Office Supplies,Stainless Steel Scissors,West,38.58,9.87,6,Consumer
CA-2025-101190,2024-05-21,Technology,Logitech MX Master 3 Mouse,East,729.69,219.89,7,Consumer
CA-2024-100850,2024-05-21,Office Supplies,Desktop Stapler,East,138.96,26.21,7,Corporate
CA-2024-100315,2024-05-22,Office Supplies,Multi-color Sticky Notes (5-pack),North,33.53,6.47,4,Corporate
CA-2025-100138,2024-05-23,Technology,Logitech MX Master 3 Mouse,West,552.96,204.6,5,Home Office
CA-2025-100205,2024-05-23,Office Supplies,Gel Pens (12-pack),East,11.11,2.84,1,Consumer
CA-2025-100010,2024-05-23,Furniture,Standing Desk,South,786.09,18.08,2,Consumer
CA-2024-101078,2024-05-25,Office Supplies,Heavy Duty 3-Ring Binder,South,12.67,2.34,1,Corporate
CA-2024-100930,2024-05-25,Technology,Dell XPS 13 Laptop,South,6007.98,1440.15,6,Home Office
CA-2024-100448,2024-05-26,Furniture,Solid Wood Coffee Table,East,872.14,68.06,4,Home Office
CA-2025-100648,2024-05-27,Office Supplies,Stainless Steel Scissors,North,38.64,10.04,6,Home Office
CA-2025-101165,2024-05-27,Technology,Anker USB-C Hub,East,45.67,15.28,1,Home Office
CA-2025-101020,2024-05-27,Technology,Unknown Product,North,401.89,123.77,4,Home Office
CA-2024-100732,2024-05-29,Office Supplies,Heavy Duty 3-Ring Binder,North,102.47,20.5,7,Corporate
CA-2025-100073,2024-05-29,Technology,Dell XPS 13 Laptop,South,8419.96,1792.56,8,Consumer
CA-2025-101115,2024-05-30,Office Supplies,Stainless Steel Scissors,North,26.87,7.17,4,Home Office
CA-2025-100330,2024-05-30,Furniture,Ergonomic Office Chair,North,736.29,39.44,3,Corporate
CA-2024-100279,2024-05-30,Office Supplies,Gel Pens (12-pack),North,80.72,21.28,8,Home Office
CA-2024-101095,2024-06-01,Furniture,Leather Executive Sofa,East,6113.3,602.97,6,Home Office
CA-2024-101186,2024-06-01,Furniture,Ergonomic Office Chair,North,2478.62,117.12,8,Home Office
CA-2025-101136,2024-06-01,Technology,Apple iPad Air,South,5033.0,1297.09,4,Corporate
CA-2025-100042,2024-06-01,Furniture,Solid Wood Coffee Table,North,1698.26,128.6,7,Home Office
CA-2025-100065,2024-06-03,Furniture,Ergonomic Office Chair,South,298.44,13.02,1,Corporate
CA-2025-100100,2024-06-05,Furniture,Adjustable Side Table,North,815.33,-17.78,8,Home Office
CA-2024-100728,2024-06-05,Office Supplies,Gel Pens (12-pack),East,12.23,3.42,1,Consumer
CA-2025-100161,2024-06-06,Technology,Logitech MX Master 3 Mouse,South,932.21,279.85,8,Corporate
CA-2024-100368,2024-06-06,Office Supplies,Premium Printer Paper (Ream),West,133.99,17.12,7,Consumer
CA-2025-100977,2024-06-06,Furniture,Solid Wood Coffee Table,North,501.54,40.29,2,Home Office
CA-2024-101169,2024-06-07,Office Supplies,Stainless Steel Scissors,South,23.12,4.76,3,Consumer
CA-2025-101195,2024-06-10,Furniture,Standing Desk,East,2297.23,45.57,5,Corporate
CA-2025-100682,2024-06-11,Furniture,Solid Wood Coffee Table,West,1941.32,176.15,8,Corporate
CA-2025-100135,2024-06-11,Furniture,Ergonomic Office Chair,North,853.92,44.3,3,Corporate
CA-2025-100023,2024-06-11,Office Supplies,Desktop Stapler,North,190.12,35.45,8,Home Office
CA-2024-100001,2024-06-12,Office Supplies,Desktop Stapler,North,43.57,7.66,2,Consumer
CA-2025-100888,2024-06-12,Furniture,Solid Wood Coffee Table,East,1733.71,139.53,7,Consumer
CA-2024-100070,2024-06-15,Technology,Anker USB-C Hub,West,336.41,107.57,7,Corporate
CA-2024-101053,2024-06-15,Technology,Apple iPad Air,East,5201.91,1608.12,7,Home Office
CA-2025-100131,2024-06-18,Office Supplies,Gel Pens (12-pack),West,62.38,14.04,5,Home Office
